model,model_id,site,method,seed,sequence,nll,tokens_scored,rotation_only_nll,weight_fold_max_relative_error
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,35,2.1453537940979004,2047,2.1022555828094482,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,36,1.767205834388733,2047,1.7321971654891968,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,37,1.5966038703918457,2047,1.5486499071121216,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,38,1.7938618659973145,2047,1.7646453380584717,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,39,1.5594761371612549,2047,1.5051101446151733,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,40,1.7802194356918335,2047,1.7650604248046875,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,41,2.0075430870056152,2047,1.9263883829116821,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,42,2.621011972427368,2047,2.5689213275909424,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,43,2.8705241680145264,2047,2.8324944972991943,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,44,2.670680046081543,2047,2.6234476566314697,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,45,2.415003776550293,2047,2.3492636680603027,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,46,2.3954544067382812,2047,2.3427700996398926,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,47,2.477501392364502,2047,2.4208996295928955,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,48,2.5354740619659424,2047,2.479107618331909,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,49,1.922802448272705,2047,1.8739848136901855,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,50,2.381258726119995,2047,2.3422765731811523,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,51,2.1094067096710205,2047,2.080012559890747,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,52,2.0264036655426025,2047,1.9718588590621948,0.0
qwen3_8b_base,Qwen/Qwen3-8B-Base,both,hadamard,20260902,53,2.0515308380126953,2047,1.928279161453247,0.0
