model,layer,b,method,mean_group_range,relative_quantization_error_nmse,mse,sample_vectors,valid,invalid_reason
llama32_3b,4,32,hadamard,7.433088779449463,0.005727407559092372,0.020018547773361206,65536,True,
llama32_3b,4,32,nar,5.816150665283203,0.0035622066936634575,0.012450695037841797,65536,True,
llama32_3b,4,32,nar_rope,6.568279266357422,0.004589454917263716,0.01604115217924118,65536,True,
llama32_3b,4,64,bf16,12.356450080871582,0.0,0.0,65536,True,
llama32_3b,4,64,identity,12.356450080871582,0.017448351558531937,0.06098582223057747,65536,True,
llama32_3b,4,64,hadamard,8.312463760375977,0.007350270158299963,0.02569081261754036,65536,True,
llama32_3b,4,64,nar,7.159366607666016,0.005527646494744139,0.01932033896446228,65536,True,
llama32_3b,4,64,nar_rope,7.757010459899902,0.006586882991721563,0.0230226032435894,65536,True,
llama32_3b,4,128,bf16,15.955010414123535,0.0,0.0,65536,True,
llama32_3b,4,128,identity,15.955010414123535,0.027183941894598464,0.09501384943723679,65536,True,
llama32_3b,4,128,hadamard,9.221471786499023,0.009117698915567202,0.03186836093664169,65536,True,
llama32_3b,4,128,nar,8.38973617553711,0.007634346392847919,0.026683717966079712,65536,True,
llama32_3b,4,128,nar_rope,nan,nan,nan,65536,False,"requires an even number of >=2 groups, got 1"
llama32_3b,5,32,bf16,8.791072845458984,0.0,0.0,65536,True,
llama32_3b,5,32,identity,8.791072845458984,0.009693695725239794,0.033198945224285126,65536,True,
llama32_3b,5,32,hadamard,7.525584697723389,0.006021972867475569,0.020624037832021713,65536,True,
llama32_3b,5,32,nar,5.9338908195495605,0.0037745578257362767,0.012927096337080002,65536,True,
llama32_3b,5,32,nar_rope,6.719667434692383,0.0048541243013574585,0.016624392941594124,65536,True,
llama32_3b,5,64,bf16,11.96639633178711,0.0,0.0,65536,True,
llama32_3b,5,64,identity,11.96639633178711,0.016815935310117717,0.05759117379784584,65536,True,
llama32_3b,5,64,hadamard,8.390993118286133,0.007662106306756548,0.026241162791848183,65536,True,
llama32_3b,5,64,nar,7.280891418457031,0.005801152884631584,0.019867774099111557,65536,True,
llama32_3b,5,64,nar_rope,7.8671979904174805,0.006734193671516492,0.02306324988603592,65536,True,
llama32_3b,5,128,bf16,15.550454139709473,0.0,0.0,65536,True,
